"ID","NOMBRE","DATOS","CODIGO_SIC","ANIO","FECHA_CREACION"
1,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","33145",2024,26-MAY-26
2,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","33146",2024,26-MAY-26
3,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","36173",2024,26-MAY-26
4,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","36174",2024,26-MAY-26
5,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","41810",2024,26-MAY-26
6,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42056",2024,26-MAY-26
7,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42057",2024,26-MAY-26
8,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42130",2024,26-MAY-26
9,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42134",2024,26-MAY-26
10,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42137",2024,26-MAY-26
11,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42151",2024,26-MAY-26
12,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42166",2024,26-MAY-26
14,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42569",2024,26-MAY-26
15,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43158",2024,26-MAY-26
16,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43200",2024,26-MAY-26
18,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43209",2024,26-MAY-26
19,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43210",2024,26-MAY-26
20,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43211",2024,26-MAY-26
21,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43213",2024,26-MAY-26
23,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43237",2024,26-MAY-26
24,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43253",2024,26-MAY-26
25,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43261",2024,26-MAY-26
27,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43263",2024,26-MAY-26
28,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43293",2024,26-MAY-26
29,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43316",2024,26-MAY-26
30,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43318",2024,26-MAY-26
32,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43326",2024,26-MAY-26
33,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43327",2024,26-MAY-26
34,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43345",2024,26-MAY-26
36,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43517",2024,26-MAY-26
37,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43530",2024,26-MAY-26
38,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","45569",2024,26-MAY-26
39,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","45645",2024,26-MAY-26
41,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","45799",2024,26-MAY-26
42,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47237",2024,26-MAY-26
43,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47238",2024,26-MAY-26
44,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47241",2024,26-MAY-26
46,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47262",2024,26-MAY-26
47,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47300",2024,26-MAY-26
48,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47303",2024,26-MAY-26
50,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","49476",2024,26-MAY-26
51,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50243",2024,26-MAY-26
52,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50244",2024,26-MAY-26
53,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50371",2024,26-MAY-26
55,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50659",2024,26-MAY-26
56,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","51010",2024,26-MAY-26
57,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","51031",2024,26-MAY-26
59,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","51423",2024,26-MAY-26
60,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","52792",2024,26-MAY-26
61,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","52818",2024,26-MAY-26
62,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","52820",2024,26-MAY-26
63,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","52827",2024,26-MAY-26
64,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","52866",2024,26-MAY-26
65,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","53077",2024,26-MAY-26
66,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","61619",2024,26-MAY-26
67,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","62570",2024,26-MAY-26
68,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","62610",2024,26-MAY-26
69,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","62611",2024,26-MAY-26
70,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","63965",2024,26-MAY-26
71,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","64182",2024,26-MAY-26
72,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","64190",2024,26-MAY-26
73,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","68409",2024,26-MAY-26
74,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","69206",2024,26-MAY-26
75,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","69207",2024,26-MAY-26
76,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","71108",2024,26-MAY-26
77,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","71621",2024,26-MAY-26
78,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","77955",2024,26-MAY-26
79,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","78229",2024,26-MAY-26
80,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","78699",2024,26-MAY-26
81,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79667",2024,26-MAY-26
82,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79926",2024,26-MAY-26
83,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79940",2024,26-MAY-26
84,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79833",2024,26-MAY-26
85,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79881",2024,26-MAY-26
86,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79913",2024,26-MAY-26
87,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79916",2024,26-MAY-26
88,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79938",2024,26-MAY-26
89,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","79349",2024,26-MAY-26
90,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","85780",2024,26-MAY-26
91,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","85862",2024,26-MAY-26
102,"sic_2020546.xlsx","{""ruta_archivo"": ""contratos\\20250612_123131_sic_2020546.xlsx""}","202546",2025,12-JUN-25
103,"sic_2020546.xlsx","{""ruta_archivo"": ""contratos\\20250612_123202_sic_2020546.xlsx""}","20256",2025,12-JUN-25
13,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","42167",2024,26-MAY-26
17,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43201",2024,26-MAY-26
22,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43233",2024,26-MAY-26
26,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43262",2024,26-MAY-26
31,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43325",2024,26-MAY-26
35,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","43346",2024,26-MAY-26
40,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","45797",2024,26-MAY-26
45,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","47260",2024,26-MAY-26
49,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","49475",2024,26-MAY-26
54,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","50658",2024,26-MAY-26
58,"Book1_PlantillaCubrimiento.xlsx","{""ruta_archivo"": ""contratos/20260526_125604_Book1_PlantillaCubrimiento.xlsx""}","51421",2024,26-MAY-26
101,"sic_20205.xlsx","{""ruta_archivo"": ""contratos\\20250612_120152_sic_20205.xlsx""}","32025",2025,12-JUN-25
